School,Conference,ProjectedPoints,NumberOfProspects
Ohio State,Big Ten,222,29
Oregon,Big Ten,204,21
Alabama,SEC,183,30
Clemson,ACC,163,24
Texas A&M,SEC,130,30
Penn State,Big Ten,125,28
LSU,SEC,115,25
Indiana,Big Ten,110,15
Georgia,SEC,108,25
Tennessee,SEC,108,13
USC,Big Ten,107,16
Miami (FL),ACC,101,15
Notre Dame,FBS - Independent,90,20
Texas,SEC,88,22
Utah,Big 12,88,11
Arizona State,Big 12,87,15
Texas Tech,Big 12,86,13
Auburn,SEC,75,14
South Carolina,SEC,73,16
Florida,SEC,72,19
Oklahoma,SEC,69,19
Michigan,Big Ten,65,19
Missouri,SEC,63,15
Washington,Big Ten,51,7
Iowa,Big Ten,50,10
Cincinnati,Big 12,46,9
Illinois,Big Ten,40,15
Arkansas,SEC,39,11
Florida State,ACC,38,16
Louisville,ACC,35,10
Virginia Tech,ACC,33,15
Duke,ACC,32,7
Baylor,Big 12,29,12
Northwestern,Big Ten,29,6
Ole Miss,SEC,28,15
TCU,Big 12,26,12
NC State,ACC,26,8
Iowa State,Big 12,26,7
Wake Forest,ACC,25,6
SMU,ACC,24,14
Minnesota,Big Ten,24,9
Mississippi State,SEC,22,9
Toledo,FBS - MAC,22,3
San Diego State,FBS - Mountain West,22,3
Colorado,Big 12,21,14
Vanderbilt,SEC,19,12
Pitt,ACC,19,11
Virginia,ACC,18,13
Arizona,Big 12,18,8
Boston College,ACC,18,8
BYU,Big 12,16,11
Wisconsin,Big Ten,15,9
Kansas State,Big 12,15,6
Nebraska,Big Ten,14,8
Rutgers,Big Ten,13,7
Michigan State,Big Ten,13,5
Kansas,Big 12,12,11
UCLA,Big Ten,12,11
UConn,FBS - AAC,12,3
Kentucky,SEC,11,11
Boise State,FBS - Mountain West,11,6
Georgia Tech,ACC,11,5
North Carolina,ACC,10,9
California,ACC,10,6
Houston,Big 12,10,6
Tulane,FBS - AAC,9,5
North Dakota State,FCS,8,3
Georgia State,FBS - Sun Belt,8,3
Sam Houston State,FBS - CUSA,8,2
Stanford,ACC,7,6
UCF,Big 12,6,6
Oklahoma State,Big 12,6,6
UNLV,FBS - Mountain West,6,6
Memphis,FBS - AAC,5,5
Syracuse,ACC,5,5
West Virginia,Big 12,5,5
Wyoming,FBS - Mountain West,5,3
North Dakota,FCS,5,1
Incarnate Word,FCS,5,1
Maryland,Big Ten,4,4
Texas State,FBS - Sun Belt,4,4
Oregon State,Pac 12,4,4
Miami (OH),FBS - MAC,4,4
Troy,FBS - Sun Belt,4,4
UTSA,FBS - AAC,4,3
James Madison,FBS - Sun Belt,4,3
Southern Miss,FBS - CUSA,3,3
Bowling Green,FBS - MAC,3,3
Louisiana-Lafayette,FBS - Sun Belt,3,3
East Carolina,FBS - AAC,3,3
Western Michigan,FBS - MAC,3,3
Stephen F. Austin,FCS,3,2
Buffalo,FBS - MAC,2,2
Massachusetts,FBS - MAC,2,2
Sacramento State,FCS,2,2
Rice,FBS - AAC,2,2
Marshall,FBS - CUSA,2,2
Youngstown State,FCS,2,2
Charlotte,FBS - AAC,2,2
New Mexico,FBS - Mountain West,2,2
Arkansas State,FBS - Sun Belt,2,2
Florida Atlantic,FBS - AAC,2,2
Coastal Carolina,FCS,2,2
Jacksonville State,FBS - CUSA,2,2
Tulsa,FBS - AAC,2,2
Central Michigan,FBS - MAC,2,1
North Texas,FBS - AAC,2,1
Northern Illinois,FBS - MAC,1,1
William & Mary,FCS,1,1
Abilene Christian,FCS,1,1
UTEP,FBS - CUSA,1,1
South Florida,FBS - AAC,1,1
Navy,FBS - AAC,1,1
Virginia State,D2,1,1
West Alabama,D2,1,1
Delaware State,FCS,1,1
UC Davis,FCS,1,1
Florida A&M,FCS,1,1
South Dakota State,FCS,1,1
Western Illinois,FCS,1,1
McNeese State,FCS,1,1
Akron,FBS - MAC,1,1
UAB,FBS - AAC,1,1
Georgia Southern,FBS - Sun Belt,1,1
Nicholls State,FCS,1,1
San Jose State,FBS - Mountain West,1,1
Fresno State,FBS - Mountain West,1,1
Tarleton State,D2,1,1
New Mexico State,FBS - CUSA,1,1
UT Martin,FCS,1,1
Cal Poly,FCS,1,1
Old Dominion,FBS - CUSA,1,1
Appalachian State,FBS - Sun Belt,1,1
Purdue,Big Ten,1,1
Western Kentucky,FBS - CUSA,1,1
Air Force,FBS - Mountain West,1,1
East Tennessee State,FCS,1,1
