Country,Participants,Gold Medals,Silver Medals,Bronze Medals,Total Medals,Weighted Medals,Total Hardware,Weighted Hardware,Multiplied Medals,Multiplied Hardware
Norway,80,18,12,11,41,89,63,137,259.21,399.01
Netherlands,39,10,7,3,20,47,26,63,280.79,376.38
United States,233,12,12,9,33,69,96,249,69.0,249.0
Canada,210,5,7,9,21,38,86,165,42.16,183.07
Great Britain,55,3,1,1,5,12,15,38,50.84,160.98
Sweden,110,8,6,4,18,40,32,71,84.73,150.39
Italy,196,10,6,14,30,56,69,121,66.57,143.84
France,162,8,9,6,23,48,42,96,69.04,138.07
Germany,189,8,10,8,26,52,56,112,64.11,138.07
Austria,117,5,8,5,18,36,33,66,71.69,131.44
South Korea,71,3,4,3,10,20,18,40,65.63,131.27
Switzerland,175,6,9,8,23,44,62,95,58.58,126.49
Japan,120,5,7,12,24,41,37,63,79.61,122.33
Georgia,8,0,1,0,1,2,2,4,58.25,116.5
Slovenia,37,2,1,1,4,9,7,18,56.68,113.35
Spain,20,1,0,2,3,5,6,8,58.25,93.2
Finland,103,0,1,5,6,7,36,40,15.83,90.49
New Zealand,17,0,2,1,3,5,3,5,68.53,68.53
China,126,5,4,6,15,29,20,34,53.63,62.87
Australia,54,3,2,1,6,14,6,14,60.41,60.41
Poland,60,0,3,1,4,7,7,13,27.18,50.48
Brazil,15,1,0,0,1,3,1,3,46.6,46.6
Belgium,30,0,0,1,1,1,5,5,7.77,38.83
Individual Neutral Athletes,20,0,1,0,1,2,1,2,23.3,23.3
Bulgaria,20,0,0,2,2,2,2,2,23.3,23.3
Czech Republic,114,2,2,1,5,11,5,11,22.48,22.48
Kazakhstan,36,1,0,0,1,3,1,3,19.42,19.42
Estonia,32,0,1,0,1,2,1,2,14.56,14.56
Denmark,39,0,1,0,1,2,1,2,11.95,11.95
Latvia,68,0,1,1,2,3,2,3,10.28,10.28
